CountryCSV with Flags,Countries on the map
Abkhazia,
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Andorra,
Angola,Angola
,Antarctica
Antigua and Barbuda,
Argentina,Argentina
Armenia,Armenia
Artsakh,
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,
Bangladesh,Bangladesh
Barbados,
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bhutan,Bhutan
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia and Herz.
Botswana,Botswana
Brazil,Brazil
Brunei,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cape Verde,
Central African Republic,Central African Rep.
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
,Congo
Comoros,
Cook Islands,
Costa Rica,Costa Rica
,C̫te d'Ivoire
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czech Republic,Czechia
Democratic Republic of Congo,Dem. Rep. Congo
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominican Rep.
Dominican Republic,
East Timor,
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Eq. Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
,Falkland Is.
Federated States of Micronesia,
Fiji,Fiji
Finland,Finland
,Fr. S. Antarctic Lands
France,France
Gabon,Gabon
,Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Grenada,Greenland
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Ivory Coast,
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,
Kosovo,Kosovo
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,
Lithuania,Lithuania
Luxembourg,Luxembourg
Macedonia,Macedonia
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,
Mali,Mali
Malta,
Marshall Islands,
Mauritania,Mauritania
Mauritius,
Mexico,Mexico
Moldova,Moldova
Monaco,
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
,N. Cyprus
Namibia,Namibia
Nauru,
Nepal,Nepal
Netherlands,Netherlands
,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,
North Korea,North Korea
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Palau,
Palestine,Palestine
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
,Puerto Rico
Qatar,Qatar
Republic of China,
Republic of Congo,
Romania,Romania
Russia,Russia
Rwanda,Rwanda
Sahrawi Arab Democratic Republic,S. Sudan
Saint Kitts and Nevis,
Saint Lucia,
Saint Vincent and Grenadines,
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,
Sierra Leone,Sierra Leone
Singapore,
Slovakia,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Is.
Somalia,Somalia
Somaliland,Somaliland
South Africa,South Africa
South Korea,South Korea
South Ossetia,
South Sudan,
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
,Taiwan
Tajikistan,Tajikistan
Tanzania,Tanzania
Thailand,Thailand
The Gambia,
,Timor-Leste
Togo,Togo
Tonga,
Transnistria,
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkish Republic of Northern Cyprus,
Turkmenistan,Turkmenistan
Tuvalu,
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States,United States of America
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Vatican City,
Venezuela,Venezuela
Vietnam,Vietnam
,W. Sahara
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
